Date,Open,High,Low,Price,Volume,Change %
11/20/2023,"37,356.60","37,735.60","36,857.60","37,454.10",51.80,0.27%
11/19/2023,"36,568.60","37,504.60","36,393.30","37,354.20",26.14,2.15%
11/18/2023,"36,617.50","36,845.20","36,220.60","36,568.60",20.88,-0.07%
11/17/2023,"36,161.80","36,690.60","35,875.20","36,595.40",51.37,1.20%
11/16/2023,"37,873.90","37,907.60","35,561.60","36,161.20",66.92,-4.52%
11/15/2023,"35,549.30","37,954.10","35,379.60","37,874.90",75.51,6.54%
11/14/2023,"36,478.30","36,744.50","34,984.30","35,549.30",63.56,-2.55%
11/13/2023,"37,067.80","37,404.60","36,358.40","36,478.30",44.55,-1.58%
11/12/2023,"37,149.00","37,215.30","36,761.90","37,064.40",21.45,-0.23%
11/11/2023,"37,306.30","37,401.30","36,767.60","37,150.50",29.53,-0.41%
11/10/2023,"36,700.50","37,496.10","36,347.20","37,303.00",59.56,1.64%
11/9/2023,"35,636.90","37,942.00","35,578.10","36,700.50",115.56,2.98%
11/8/2023,"35,426.20","36,050.20","35,148.80","35,636.90",46.33,0.60%
11/7/2023,"35,042.10","35,877.90","34,536.90","35,426.10",53.49,1.10%
11/6/2023,"35,020.30","35,275.60","34,742.90","35,042.00",29.81,0.06%
11/5/2023,"35,065.80","35,360.20","34,550.00","35,019.40",31.02,-0.13%
11/4/2023,"34,718.60","35,242.20","34,601.10","35,065.80",23.80,1.00%
11/3/2023,"34,931.40","34,940.60","34,124.20","34,718.70",54.54,-0.61%
11/2/2023,"35,423.80","35,907.60","34,357.40","34,931.40",63.66,-1.39%
11/1/2023,"34,648.30","35,557.50","34,138.70","35,423.80",71.66,2.23%
10/31/2023,"34,478.90","34,704.60","34,053.90","34,650.60",43.40,0.50%
10/30/2023,"34,526.70","34,853.30","34,089.50","34,477.90",45.20,-0.14%
10/29/2023,"34,082.60","34,737.90","33,937.60","34,526.70",27.72,1.30%
10/28/2023,"33,901.60","34,387.80","33,867.30","34,082.60",22.00,0.53%
10/27/2023,"34,153.70","34,245.80","33,423.60","33,901.80",47.33,-0.74%
10/26/2023,"34,497.60","34,826.00","33,749.90","34,153.70",56.62,-0.99%
10/25/2023,"33,917.00","35,123.90","33,713.40","34,496.80",75.81,1.71%
10/24/2023,"33,037.30","35,191.40","32,866.50","33,917.00",159.08,2.65%
10/23/2023,"29,984.20","34,375.60","29,891.40","33,041.80",133.46,10.20%
10/22/2023,"29,912.70","30,193.40","29,713.60","29,984.20",29.07,0.24%
10/21/2023,"29,674.70","30,264.80","29,469.10","29,912.90",34.68,0.80%
10/20/2023,"28,724.00","30,165.90","28,586.10","29,674.50",82.68,3.31%
10/19/2023,"28,321.80","28,883.80","28,170.20","28,723.00",50.10,1.42%
10/18/2023,"28,405.20","28,876.00","28,169.00","28,321.70",45.01,-0.29%
10/17/2023,"28,508.30","28,608.50","28,096.90","28,403.60",53.42,-0.37%
10/16/2023,"27,161.20","29,969.50","27,119.70","28,509.70",119.18,4.96%
10/15/2023,"26,852.80","27,286.90","26,812.60","27,161.20",21.95,1.15%
10/14/2023,"26,863.50","26,975.70","26,805.10","26,852.80",13.56,-0.04%
10/13/2023,"26,761.10","27,114.80","26,682.90","26,863.50",33.66,0.38%
10/12/2023,"26,878.20","26,942.80","26,565.30","26,761.10",32.75,-0.43%
10/11/2023,"27,391.90","27,475.90","26,558.40","26,876.60",55.78,-1.88%
10/10/2023,"27,581.50","27,728.10","27,300.10","27,391.00",34.32,-0.69%
10/9/2023,"27,922.70","27,986.40","27,279.50","27,581.40",44.81,-1.22%
10/8/2023,"27,961.10","28,097.50","27,714.40","27,922.70",24.11,-0.14%
10/7/2023,"27,935.50","28,021.30","27,859.00","27,961.10",17.29,0.09%
10/6/2023,"27,410.30","28,223.60","27,195.70","27,936.90",52.51,1.92%
10/5/2023,"27,783.50","28,089.10","27,371.70","27,410.30",46.26,-1.37%
10/4/2023,"27,428.70","27,832.70","27,242.50","27,790.90",40.93,1.32%
10/3/2023,"27,501.60","27,670.80","27,194.10","27,428.40",44.06,-0.28%
10/2/2023,"27,974.60","28,556.60","27,325.20","27,505.30",84.30,-1.68%
10/1/2023,"26,962.50","28,038.40","26,955.70","27,974.50",35.11,3.75%
9/30/2023,"26,908.10","27,085.70","26,887.50","26,962.70",17.55,0.20%
9/29/2023,"27,022.60","27,229.50","26,728.80","26,909.80",42.24,-0.42%
9/28/2023,"26,368.20","27,283.60","26,339.40","27,022.60",64.56,2.49%
9/27/2023,"26,218.90","26,836.90","26,109.10","26,366.10",50.80,0.56%
9/26/2023,"26,303.10","26,396.20","26,093.40","26,218.90",26.41,-0.32%
9/25/2023,"26,251.60","26,423.60","26,013.60","26,302.70",38.20,0.20%
9/24/2023,"26,579.00","26,727.60","26,162.20","26,251.50",22.32,-1.23%
9/23/2023,"26,581.70","26,636.20","26,517.50","26,579.20",12.92,-0.01%
9/22/2023,"26,569.50","26,736.40","26,488.50","26,581.90",28.79,0.04%
9/21/2023,"27,125.20","27,155.60","26,382.30","26,570.00",47.81,-2.05%
9/20/2023,"27,209.20","27,378.60","26,851.80","27,125.00",47.23,-0.31%
9/19/2023,"26,759.00","27,480.70","26,672.20","27,209.20",52.17,1.67%
9/18/2023,"26,530.30","27,413.30","26,405.20","26,763.50",63.35,0.88%
9/17/2023,"26,562.00","26,614.40","26,408.70","26,529.10",16.57,-0.12%
9/16/2023,"26,599.90","26,769.00","26,463.50","26,562.00",18.45,-0.15%
9/15/2023,"26,523.30","26,837.40","26,233.10","26,601.00",36.47,0.29%
9/14/2023,"26,223.00","26,760.30","26,148.60","26,524.70",53.82,1.15%
9/13/2023,"25,836.10","26,382.30","25,766.90","26,223.00",42.58,1.50%
9/12/2023,"25,166.40","26,472.60","25,133.50","25,834.50",78.71,2.65%
9/11/2023,"25,840.20","25,897.40","24,923.10","25,166.40",56.32,-2.61%
9/10/2023,"25,901.10","25,995.10","25,626.70","25,840.20",23.60,-0.24%
9/9/2023,"25,909.50","25,938.50","25,814.30","25,901.10",13.48,-0.03%
9/8/2023,"26,248.50","26,415.40","25,701.60","25,909.50",41.01,-1.30%
9/7/2023,"25,758.00","26,417.70","25,626.50","26,249.80",39.77,1.91%
9/6/2023,"25,790.10","26,018.40","25,411.70","25,758.00",37.78,-0.13%
9/5/2023,"25,824.40","25,864.00","25,596.30","25,790.20",28.40,-0.13%
9/4/2023,"25,971.00","26,094.20","25,660.90","25,823.30",27.13,-0.57%
9/3/2023,"25,869.70","26,090.40","25,816.60","25,971.00",21.36,0.39%
9/2/2023,"25,803.50","25,977.40","25,752.70","25,869.70",21.24,0.26%
9/1/2023,"25,938.30","26,144.90","25,361.90","25,803.20",58.08,-0.52%
8/31/2023,"27,300.60","27,464.50","25,731.00","25,937.30",69.11,-4.99%
8/30/2023,"27,723.90","27,757.30","27,043.20","27,298.80",46.54,-1.53%
8/29/2023,"26,118.10","28,046.00","25,919.80","27,723.90",98.32,6.14%
8/28/2023,"26,100.60","26,215.70","25,891.00","26,118.90",28.84,0.07%
8/27/2023,"26,017.10","26,176.80","25,968.70","26,100.60",14.29,0.32%
8/26/2023,"26,057.20","26,114.10","25,993.50","26,017.10",12.09,-0.15%
8/25/2023,"26,176.10","26,265.70","25,811.60","26,057.20",39.96,-0.46%
8/24/2023,"26,436.20","26,560.50","25,943.60","26,177.00",41.04,-0.98%
8/23/2023,"26,042.00","26,807.70","25,812.60","26,436.20",60.96,1.52%
8/22/2023,"26,126.80","26,138.80","25,481.90","26,039.90",47.72,-0.33%
8/21/2023,"26,190.80","26,220.90","25,850.80","26,126.00",41.10,-0.25%
8/20/2023,"26,099.50","26,269.10","25,998.50","26,190.80",24.00,0.35%
8/19/2023,"26,053.30","26,262.20","25,799.50","26,099.40",33.04,0.18%
8/18/2023,"26,635.70","26,801.90","25,691.00","26,053.20",93.05,-2.19%
8/17/2023,"28,726.10","28,771.80","25,489.40","26,635.70",132.92,-7.28%
8/16/2023,"29,195.30","29,251.10","28,717.60","28,726.30",43.71,-1.61%
8/15/2023,"29,426.70","29,472.00","29,118.60","29,195.30",33.81,-0.79%
8/14/2023,"29,300.10","29,689.00","29,116.00","29,426.70",39.30,0.43%
8/13/2023,"29,428.20","29,468.50","29,272.30","29,300.10",13.49,-0.44%
8/12/2023,"29,420.80","29,480.80","29,375.40","29,428.20",11.07,0.02%
8/11/2023,"29,448.90","29,544.90","29,271.20","29,420.80",27.71,-0.10%
8/10/2023,"29,578.00","29,719.40","29,377.50","29,449.00",32.00,-0.44%
8/9/2023,"29,771.30","30,104.00","29,384.20","29,578.00",49.67,-0.67%
8/8/2023,"29,204.20","30,168.60","29,137.70","29,777.40",62.57,1.96%
8/7/2023,"29,081.30","29,270.20","28,721.00","29,204.20",41.19,0.42%
8/6/2023,"29,067.90","29,198.90","28,987.40","29,081.30",16.03,0.05%
8/5/2023,"29,105.60","29,139.30","28,983.00","29,068.10",14.55,-0.13%
8/4/2023,"29,189.10","29,319.10","28,875.80","29,105.50",31.43,-0.29%
8/3/2023,"29,180.90","29,409.80","28,981.00","29,189.30",36.08,0.05%
8/2/2023,"29,711.80","30,025.90","28,961.60","29,173.70",67.41,-1.81%
8/1/2023,"29,232.30","29,712.20","28,611.00","29,712.20",64.01,1.64%
