Date,Open,High,Low,Price,Volume,Change %
2/18/2022,40532.5,40935.5,39505,40000.1,64.96K,-1.36%
2/17/2022,43885.5,44167.1,40103.8,40552.8,72.63K,-7.59%
2/16/2022,44540.9,44552.9,43377.6,43883.6,41.40K,-1.48%
2/15/2022,42550.3,44722.6,42460.1,44544.4,56.34K,4.69%
2/14/2022,42061.1,42799.7,41591.3,42550.3,53.60K,1.16%
2/13/2022,42205.5,42725.1,41880.1,42061.1,25.88K,-0.34%
2/12/2022,42388.4,43006.4,41776.8,42205.2,37.88K,-0.43%
2/11/2022,43519.3,43915.1,42023.4,42388.4,69.95K,-2.60%
2/10/2022,44388.9,45755.2,43242.5,43521,89.69K,-1.96%
2/9/2022,44038.2,44800.4,43163,44388.9,50.92K,0.80%
2/8/2022,43833.9,45399.8,42705,44038.2,92.88K,0.47%
2/7/2022,42385.2,44468.3,41695.4,43833.9,76.60K,3.40%
2/6/2022,41411.9,42614.8,41176.3,42392.2,31.20K,2.37%
2/5/2022,41566.5,41899.8,40963.3,41412.1,46.32K,-0.37%
2/4/2022,37287.8,41689,37041.1,41567.6,95.49K,11.48%
2/3/2022,36890.2,37304.3,36297.3,37287.8,50.35K,1.08%
2/2/2022,38711.2,38853.8,36682.3,36890.2,53.74K,-4.70%
2/1/2022,38475.6,39230,38037.9,38709.7,55.20K,0.55%
1/31/2022,37923.8,38701.4,36672.8,38498.6,61.27K,1.53%
1/30/2022,38167.5,38313.3,37390.6,37917.7,34.10K,-0.66%
1/29/2022,37736.5,38663.7,37350.2,38170.8,42.77K,1.13%
1/28/2022,37195.6,37995.9,36176.5,37745.1,69.45K,1.56%
1/27/2022,36800.1,37215.4,35543.2,37164.3,83.52K,0.99%
1/26/2022,36962.3,38862.6,36280,36800.4,107.87K,-0.41%
1/25/2022,36691.3,37501.8,35729.3,36950.6,79.68K,0.72%
1/24/2022,36268.6,37424,32985.6,36686.3,153.77K,1.15%
1/23/2022,35072.9,36513,34655.2,36269.5,70.43K,3.40%
1/22/2022,36467.7,36749.8,34116,35075.2,138.09K,-3.84%
1/21/2022,40698.1,41104.6,35503.9,36475.5,155.80K,-10.41%
